date,mktrf,smb,hml,rmw,cma,rf,umd
24/01/2019,0.002300,0.004800,0.000000,-0.001500,-0.001900,0.00010,-0.010200
25/01/2019,0.009000,0.004200,-0.003500,-0.003500,-0.005700,0.00010,-0.013800
28/01/2019,-0.008000,-0.000700,0.006300,0.002800,0.001600,0.00010,-0.001100
29/01/2019,-0.001900,0.000300,0.001700,0.000400,0.004600,0.00010,-0.002600
30/01/2019,0.015100,-0.003500,-0.009400,-0.002400,-0.008800,0.00010,0.000800
31/01/2019,0.009200,-0.000600,-0.010800,-0.003700,-0.000100,0.00010,0.003400
01/02/2019,0.001400,-0.001600,0.004300,-0.007400,0.003000,0.00010,-0.005400
04/02/2019,0.007200,0.004100,-0.004600,0.001900,-0.002100,0.00010,-0.001500
05/02/2019,0.004300,-0.001200,-0.006000,0.006100,-0.003300,0.00010,0.001000
06/02/2019,-0.002200,-0.000300,0.000700,-0.001100,0.000900,0.00010,-0.002900
07/02/2019,-0.009300,-0.001400,0.004000,0.005400,0.002800,0.00010,0.006900
08/02/2019,0.000900,-0.000800,-0.006800,-0.003400,-0.001200,0.00010,0.007300
11/02/2019,0.001400,0.006700,0.002200,-0.000900,-0.000200,0.00010,-0.001100
12/02/2019,0.013600,0.000300,-0.001700,-0.001200,-0.002800,0.00010,-0.005200
13/02/2019,0.002800,0.000600,0.000700,0.001100,0.002200,0.00010,-0.003900
14/02/2019,-0.002100,0.005200,-0.005800,0.004100,-0.001800,0.00010,0.001900
15/02/2019,0.011300,0.003800,0.004700,-0.002100,0.000100,0.00010,-0.004400
19/02/2019,0.001900,0.003200,0.003000,0.000200,0.002200,0.00010,-0.004000
20/02/2019,0.001900,0.002900,0.005500,0.000100,-0.002700,0.00010,-0.004000
21/02/2019,-0.003700,-0.000400,-0.002200,0.005700,0.001300,0.00010,0.004400
22/02/2019,0.006500,0.003800,-0.014700,0.002900,-0.006100,0.00010,0.002500
25/02/2019,0.001500,-0.002800,-0.001800,-0.008600,-0.005100,0.00010,-0.006300
26/02/2019,-0.001600,-0.006800,-0.003300,0.000900,-0.001500,0.00010,0.002400
27/02/2019,0.000900,0.001500,-0.001200,-0.006800,-0.000700,0.00010,0.004700
28/02/2019,-0.003100,-0.000200,-0.002400,0.002800,0.001600,0.00010,0.006900
01/03/2019,0.007200,0.002500,-0.004100,-0.003600,-0.001700,0.00009,-0.002200
04/03/2019,-0.005200,-0.003900,0.003900,0.001500,-0.000800,0.00009,-0.005100
05/03/2019,-0.001700,-0.003200,-0.002300,0.002800,0.000000,0.00009,0.004800
06/03/2019,-0.008400,-0.012300,0.000500,0.005600,0.001300,0.00009,0.007700
07/03/2019,-0.008200,-0.000500,-0.003300,-0.003800,0.001300,0.00009,0.005100
08/03/2019,-0.002200,0.000600,-0.001500,-0.001100,-0.002800,0.00009,0.001300
11/03/2019,0.014900,0.002700,-0.005200,-0.002800,-0.004700,0.00009,-0.003500
12/03/2019,0.002500,-0.003100,-0.000800,-0.004300,0.000200,0.00009,-0.000600
13/03/2019,0.006800,-0.003200,0.000700,-0.001700,0.001900,0.00009,-0.002100
14/03/2019,-0.001000,-0.003800,0.003100,-0.001500,-0.001100,0.00009,0.002200
15/03/2019,0.004800,-0.002400,-0.002400,-0.000400,-0.001900,0.00009,-0.001700
18/03/2019,0.004600,0.002300,0.004400,-0.000800,-0.000700,0.00009,-0.005900
19/03/2019,-0.000900,-0.004700,-0.009100,0.000100,-0.000500,0.00009,0.004800
20/03/2019,-0.003900,-0.002200,-0.010400,-0.002100,-0.002400,0.00009,0.005700
